timestamp_ns,activated,going_to_position,status,object_status,fault,position_request_echo,position,current_raw,current_a,link_up,timestamp_ns
1777872433067068188,true,false,3,0,0,0,3,0,0.0,true,1777872433052407315
1777872433167072590,true,false,3,0,0,0,3,0,0.0,true,1777872433153323182
1777872433267063918,true,false,3,0,0,0,3,0,0.0,true,1777872433253899956
1777872433367069283,true,false,3,0,0,0,3,0,0.0,true,1777872433353647857
1777872433467072314,true,false,3,0,0,0,3,0,0.0,true,1777872433452423034
1777872433567073253,true,false,3,0,0,0,3,0,0.0,true,1777872433553323772
1777872433667079470,true,false,3,0,0,0,3,0,0.0,true,1777872433653331525
1777872433767071354,true,false,3,0,0,0,3,0,0.0,true,1777872433752730296
1777872433867088719,true,false,3,0,0,0,3,0,0.0,true,1777872433853479089
1777872433967138417,true,false,3,0,0,0,3,0,0.0,true,1777872433953333676
1777872434067081375,true,false,3,0,0,0,3,0,0.0,true,1777872434053035873
1777872434167074554,true,false,3,0,0,0,3,0,0.0,true,1777872434152739682
1777872434267092105,true,false,3,0,0,0,3,0,0.0,true,1777872434253336660
1777872434367089303,true,false,3,0,0,0,3,0,0.0,true,1777872434353341154
1777872434467082927,true,false,3,0,0,0,3,0,0.0,true,1777872434452340183
1777872434567076440,true,false,3,0,0,0,3,0,0.0,true,1777872434553777756
1777872434667103564,true,false,3,0,0,0,3,0,0.0,true,1777872434653538342
1777872434767089040,true,false,3,0,0,0,3,0,0.0,true,1777872434753344429
1777872434867078628,true,false,3,0,0,0,3,0,0.0,true,1777872434853125497
1777872434967090937,true,false,3,0,0,0,3,0,0.0,true,1777872434953344511
1777872435067107783,true,false,3,0,0,0,3,0,0.0,true,1777872435053349061
1777872435167089037,true,false,3,0,0,0,3,0,0.0,true,1777872435152348349
1777872435267086661,true,false,3,0,0,0,3,0,0.0,true,1777872435253347791
1777872435366843007,true,false,3,0,0,0,3,0,0.0,true,1777872435353352119
1777872435467084503,true,false,3,0,0,0,3,0,0.0,true,1777872435452629000
1777872435567153312,true,false,3,0,0,0,3,0,0.0,true,1777872435553408423
1777872435667100084,true,false,3,0,0,0,3,0,0.0,true,1777872435653354677
1777872435767097968,true,false,3,0,0,0,3,0,0.0,true,1777872435752920337
1777872435867505426,true,false,3,0,0,0,3,0,0.0,true,1777872435852671719
1777872435967106198,true,false,3,0,0,0,3,0,0.0,true,1777872435953430179
1777872436067106896,true,false,3,0,0,0,3,0,0.0,true,1777872436053360266
1777872436167103298,true,false,3,0,0,0,3,0,0.0,true,1777872436152361776
1777872436267108552,true,false,3,0,0,0,3,0,0.0,true,1777872436253374940
1777872436366772749,true,false,3,0,0,0,3,0,0.0,true,1777872436353365861
1777872436467095263,true,false,3,0,0,0,3,0,0.0,true,1777872436452366686
1777872436567095387,true,false,3,0,0,0,3,0,0.0,true,1777872436552368884
1777872436667111049,true,false,3,0,0,0,3,0,0.0,true,1777872436653757235
1777872436767118210,true,false,3,0,0,0,3,0,0.0,true,1777872436753499154
1777872436867383668,true,false,3,0,0,0,3,0,0.0,true,1777872436853268945
1777872436967092884,true,false,3,0,0,0,3,0,0.0,true,1777872436954026793
1777872437067116972,true,false,3,0,0,0,3,0,0.0,true,1777872437053777417
1777872437167164263,true,false,3,0,0,0,3,0,0.0,true,1777872437152552927
1777872437267104294,true,false,3,0,0,0,3,0,0.0,true,1777872437252374624
1777872437367395123,true,false,3,0,0,0,3,0,0.0,true,1777872437353372807
