timestamp_ns,port,gps_tow,gps_week,ins_status_raw,ins_mode,ins_error,gnss_fix,gnss_compass_active,gnss_heading_aiding,yaw,pitch,roll,latitude,longitude,altitude,vel_north,vel_east,vel_down,att_uncertainty,pos_uncertainty,vel_uncertainty,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gnss_num_sats,gnss_fix_type,temperature,pressure,last_async_header,messages_parsed,messages_dropped,timestamp_ns
1780983121289808941,sim,451921.267,-308096,774,2,0,true,true,true,-4.243636419557694,-0.02145400108030655,0.006871416694341101,46.751170640746174,7.613117121170966,560.0532998454277,0.0015586049897507769,-0.0014766067697839402,-6.640501712250335e-6,0.5,0.4,0.1,0.19959712508439545,0.015110121442959729,0.4399234841288008,-0.1791334816531036,0.1581606161138594,9.808179105803816,0.00001639993603940841,-0.00001819471700295148,-0.006130691001163686,14,3,25.0,94.775,VNINS,0,0,1780983121267035937
1780983121389334784,sim,451921.375,-308096,774,2,0,true,true,true,-4.243127542196248,-0.02147095604260675,0.0067474324615046655,46.75117604930568,7.613117475785704,560.0532999830843,-0.0013793755184252406,0.001463738538768509,-0.00005275828000799593,0.5,0.4,0.1,0.1995973913262214,0.015107367280024082,0.4399234579215271,0.23745909270615093,-0.19942810516996945,9.810762116110212,0.000013269900920580323,0.00010477123004835766,0.005957923700142351,14,3,25.0,94.775,VNINS,0,0,1780983121374843810
1780983121489403180,sim,451921.474,-308096,774,2,0,true,true,true,-4.245426066437445,-0.021446800668496965,0.0068181103570608085,46.75117365579814,7.613121842387596,560.0532999712216,0.001425827447709642,-0.0013910717565725943,-0.0000145975615060967,0.5,0.4,0.1,0.1995965911691075,0.015116050184786189,0.4399235226951193,-0.14336321445566785,0.12623549231288178,9.807860399522632,0.00006734269025546698,0.00008607932127392467,-0.005822060710015714,14,3,25.0,94.775,VNINS,0,0,1780983121473859864
1780983121589815605,sim,451921.574,-308096,774,2,0,true,true,true,-4.24500716637248,-0.021449352695320247,0.00686491240445195,46.75116973809353,7.613120145431572,560.0532998431896,-0.001403483554262517,0.0014576723516972253,0.0000132571175143828,0.5,0.4,0.1,0.19959672281410848,0.01511492600276645,0.4399235015929461,0.1643208814144484,-0.140574968688859,9.804998103304046,0.00007171264873218305,0.00009046685035234726,0.0058666646384313405,14,3,25.0,94.775,VNINS,0,0,1780983121574306821
1780983121689954649,sim,451921.674,-308096,774,2,0,true,true,true,-4.247337414761462,-0.021436179591059284,0.006861036941936662,46.75117082287174,7.613119326689637,560.0532998616267,0.00151682194903674,-0.0014464897800960778,5.16211848033965e-6,0.5,0.4,0.1,0.1995959982187461,0.015123148803990882,0.4399235477504184,-0.15136799824286087,0.13397140592966117,9.807406261791062,0.00009123897813658792,0.00009012800006499224,-0.006020463587250906,14,3,25.0,94.775,VNINS,0,0,1780983121674530015
1780983121789645853,sim,451921.775,-308096,774,2,0,true,true,true,-4.24684211232893,-0.02142774556495856,0.006872262265191429,46.75116729406341,7.613123979020859,560.053299788237,-0.0013967014260637264,0.0014522382688836907,0.00003244477062987888,0.5,0.4,0.1,0.19959606600618876,0.015121480890249483,0.4399235743291543,0.16188828677879488,-0.13675902051422126,9.804798638192024,0.000124692635682102,0.000018809049439079877,0.00578168728792914,14,3,25.0,94.775,VNINS,0,0,1780983121775217997
1780983121889723230,sim,451921.876,-308096,774,2,0,true,true,true,-4.249239305888899,-0.02149285093613662,0.006832469283442058,46.75116818765791,7.613114740565527,560.0532998029694,0.0016168009186773315,-0.0015209733221816007,-0.000019073152687391903,0.5,0.4,0.1,0.19959592425164127,0.01512966494447401,0.4399233572576035,-0.15246079018541583,0.13861914790884747,9.80899518261633,-0.00027862183758913314,-0.00023739481623276788,-0.00628810356695962,14,3,25.0,94.775,VNINS,0,0,1780983121876300556
1780983121989879196,sim,451921.976,-308096,774,2,0,true,true,true,-4.248708169316866,-0.0214661275268138,0.0068322439194655,46.751170349228225,7.613118199676265,560.0532998829977,-0.0013779353563318135,0.001458781957200396,-0.0000212612921822522,0.5,0.4,0.1,0.19959586126290796,0.015127782217280792,0.4399234505819218,0.16031872929029617,-0.13462303384097551,9.80655625689258,0.000019720167180859564,0.00010589148501807496,0.0059123019858762635,14,3,25.0,94.775,VNINS,0,0,1780983121976212501
1780983122089501026,sim,451922.077,-308096,774,2,0,true,true,true,-4.25106194029075,-0.021459584967964056,0.0068627974260004245,46.75117108049555,7.613119391467499,560.0532998860256,0.0016262953548404596,-0.0015107184087255546,-0.00001285526512839752,0.5,0.4,0.1,0.19959518073486585,0.015136352628712348,0.43992346454413583,-0.151321109547175,0.13614892685324262,9.80821159211516,0.000010177201725226536,-0.00009541646241573276,-0.006242740670471032,14,3,25.0,94.775,VNINS,0,0,1780983122077072193
1780983122189841188,sim,451922.177,-308096,774,2,0,true,true,true,-4.250565654970414,-0.021438935867063465,0.006889302028135958,46.75117554729179,7.613110906131516,560.053299775884,-0.0013847999187730285,0.0014569146149914973,0.000025024289337684247,0.5,0.4,0.1,0.19959515511245615,0.015134798564010376,0.4399235296367556,0.16327629286391362,-0.13712809564368916,9.804826201330927,0.00010019581282925548,0.0001064678993497622,0.005844858911007517,14,3,25.0,94.775,VNINS,0,0,1780983122177150599
1780983122289180751,sim,451922.278,-308096,774,2,0,true,true,true,-4.252778963301393,-0.02146185175361136,0.0066156904498058,46.7511728437556,7.613119052579996,560.0533006784217,0.0016190716119772602,-0.0014867103397103152,-4.6015774277652355e-6,0.5,0.4,0.1,0.19959473813497172,0.015140536085740694,0.4399235213941946,-0.1525017914265996,0.13776862365911774,9.807459914063935,0.00001932122812237737,8.005977430470287e-6,-0.0061829525051281635,14,3,25.0,94.775,VNINS,0,0,1780983122277720581
1780983122391156596,sim,451922.378,-308096,774,2,0,true,true,true,-4.253810115678594,-0.021477573691411626,0.006826531050388721,46.75117071945044,7.613131817876843,560.0533000035243,0.0016304770340774778,-0.0015225819606340789,-0.000024777260384696576,0.5,0.4,0.1,0.1995945825069536,0.015145806718438012,0.4399234105758895,-0.12600431914211585,0.1153284400028572,9.808907113026704,-0.000032545310709298325,-0.00017963165354548046,-0.006283053713178699,14,3,25.0,94.775,VNINS,0,0,1780983122378361829
1780983122489110495,sim,451922.467,-308096,774,2,0,true,true,true,-4.254556449681449,-0.021492193119082927,0.006848595424164395,46.75117442161314,7.613115901399587,560.0532999575008,0.0016428387913916026,-0.0015309575517501613,-0.00004121526173018336,0.5,0.4,0.1,0.19959449470177656,0.015148619231250356,0.4399233535743801,-0.14431651466152437,0.13053962064148905,9.80725016226037,-0.00010987545101614931,-0.00027204813409014225,-0.0063587982543907,14,3,25.0,94.775,VNINS,0,0,1780983122466859434
1780983122589574381,sim,451922.588,-308096,774,2,0,true,true,true,-4.255805734139453,-0.02147828697359989,0.006821358651762397,46.75116546353704,7.613125014669129,560.053299783074,0.0016425403488670946,-0.001546673480898182,-7.077303989660999e-7,0.5,0.4,0.1,0.19959405297863575,0.01515283438526636,0.4399234088175511,-0.16394841764150372,0.14973777523968607,9.807452454284196,-0.0002693486035088634,-0.00010849439995324895,-0.006405758736127834,14,3,25.0,94.775,VNINS,0,0,1780983122587979805
1780983122689399500,sim,451922.688,-308096,774,2,0,true,true,true,-4.255349765204702,-0.021473300957956905,0.006761976763352113,46.751165949064514,7.613121469882543,560.0532998927467,-0.0014586182823653703,0.0015374373436295612,-0.00005156205872234448,0.5,0.4,0.1,0.1995941369579982,0.01515076365737842,0.4399234420357594,0.17047237083514422,-0.143211102168143,9.80938153153471,0.000014324599276478438,0.00009466295828852802,0.00617395050917964,14,3,25.0,94.775,VNINS,0,0,1780983122687908093
